epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,10,chains,0.1,0.9,0.9,100.0
-1.0,10,chains,1,1,0.9,100.0
-1.0,10,chains,1,0.9,0.9,100.0
-1.0,10,chains,10,1,0.9,100.0
-1.0,10,chains,0.1,1,0.8,100.0
1.0,10,chains,10,1,0.9,78.12
1.0,10,chains,1,1,0.9,62.5
1.0,10,chains,1,0.9,0.9,62.5
1.0,10,chains,10,0.9,0.9,62.5
1.0,10,chains,1,1,0.8,62.5
2.0,10,chains,10,1,0.9,65.62
2.0,10,chains,10,1,0.8,65.62
2.0,10,chains,10,0.9,0.8,65.62
2.0,10,chains,0.1,0.9,0.7,65.62
2.0,10,chains,10,1,0.7,65.62
4.0,10,chains,10,1,0.9,68.75
4.0,10,chains,10,0.9,0.9,68.75
4.0,10,chains,10,1,0.8,68.75
4.0,10,chains,10,0.9,0.8,68.75
4.0,10,chains,10,1,0.7,68.75
8.0,10,chains,10,0.9,0.9,71.88
8.0,10,chains,10,1,0.9,68.75
8.0,10,chains,10,1,0.8,68.75
8.0,10,chains,10,0.9,0.8,68.75
8.0,10,chains,10,1,0.7,68.75
16.0,10,chains,10,0.9,0.9,81.25
16.0,10,chains,10,0.9,0.7,75.0
16.0,10,chains,10,1,0.6,75.0
16.0,10,chains,10,1,0.9,71.88
16.0,10,chains,10,0.9,0.8,71.88
32.0,10,chains,1,0.9,0.8,78.12
32.0,10,chains,10,0.9,0.8,78.12
32.0,10,chains,10,1,0.9,71.88
32.0,10,chains,1,0.9,0.7,71.88
32.0,10,chains,10,0.9,0.7,71.88
