epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
16.0,1,chains,0.1,0.9,0.8,71.88
16.0,1,chains,0.1,1,0.7,71.88
16.0,1,chains,0.1,0.9,0.9,68.75
16.0,1,chains,0.1,1,0.8,68.75
16.0,1,chains,0.1,0.9,0.7,68.75
16.0,2,chains,10,1,0.9,68.75
16.0,2,chains,10,0.9,0.7,65.62
16.0,2,chains,10,0.9,0.6,65.62
16.0,2,chains,10,0.9,0.9,62.5
16.0,2,chains,10,1,0.8,62.5
16.0,3,chains,1,0.9,0.9,78.12
16.0,3,chains,10,1,0.9,71.88
16.0,3,chains,1,0.9,0.8,71.88
16.0,3,chains,10,1,0.8,71.88
16.0,3,chains,1,1,0.7,71.88
16.0,4,chains,10,1,0.9,75.0
16.0,4,chains,10,0.9,0.9,71.88
16.0,4,chains,10,0.9,0.7,71.88
16.0,4,chains,10,1,0.6,71.88
16.0,4,chains,10,0.9,0.6,71.88
16.0,5,chains,0.1,0.9,0.6,65.62
16.0,5,chains,1,0.9,0.6,65.62
16.0,5,chains,10,1,0.9,62.5
16.0,5,chains,10,1,0.8,62.5
16.0,5,chains,10,0.9,0.8,62.5
16.0,6,chains,1,1,0.6,90.62
16.0,6,chains,1,0.9,0.6,87.5
16.0,6,chains,10,0.9,0.9,84.38
16.0,6,chains,10,1,0.8,84.38
16.0,6,chains,10,0.9,0.8,84.38
16.0,7,chains,10,1,0.8,84.38
16.0,7,chains,10,0.9,0.9,81.25
16.0,7,chains,10,1,0.6,78.12
16.0,7,chains,10,0.9,0.6,78.12
16.0,7,chains,10,1,0.9,75.0
16.0,8,chains,10,1,0.9,75.0
16.0,8,chains,10,0.9,0.9,71.88
16.0,8,chains,10,1,0.8,71.88
16.0,8,chains,10,1,0.6,71.88
16.0,8,chains,10,0.9,0.8,68.75
16.0,9,chains,10,1,0.7,68.75
16.0,9,chains,10,0.9,0.7,68.75
16.0,9,chains,10,1,0.6,68.75
16.0,9,chains,10,0.9,0.6,68.75
16.0,9,chains,10,1,0.9,65.62
16.0,10,chains,10,0.9,0.9,81.25
16.0,10,chains,10,0.9,0.7,75.0
16.0,10,chains,10,1,0.6,75.0
16.0,10,chains,10,1,0.9,71.88
16.0,10,chains,10,0.9,0.8,71.88
16.0,15,chains,10,1,0.8,75.0
16.0,15,chains,10,0.9,0.8,75.0
16.0,15,chains,10,1,0.7,75.0
16.0,15,chains,10,1,0.9,71.88
16.0,15,chains,10,0.9,0.9,68.75
