epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
2.0,1,chains,10,1,0.9,65.62
2.0,1,chains,10,1,0.8,62.5
2.0,1,chains,10,1,0.7,62.5
2.0,1,chains,1,1,0.9,59.38
2.0,1,chains,0.1,0.9,0.6,59.38
2.0,2,chains,10,1,0.9,68.75
2.0,2,chains,10,0.9,0.9,68.75
2.0,2,chains,10,1,0.8,68.75
2.0,2,chains,10,0.9,0.8,68.75
2.0,2,chains,10,1,0.7,68.75
2.0,3,chains,10,1,0.9,87.5
2.0,3,chains,10,0.9,0.9,87.5
2.0,3,chains,10,1,0.8,87.5
2.0,3,chains,10,0.9,0.8,87.5
2.0,3,chains,10,1,0.7,87.5
2.0,4,chains,10,0.9,0.9,75.0
2.0,4,chains,10,0.9,0.8,75.0
2.0,4,chains,10,1,0.7,75.0
2.0,4,chains,10,1,0.6,75.0
2.0,4,chains,10,0.9,0.6,75.0
2.0,5,chains,1,1,0.9,65.62
2.0,5,chains,1,0.9,0.9,65.62
2.0,5,chains,10,0.9,0.9,65.62
2.0,5,chains,1,1,0.8,65.62
2.0,5,chains,10,1,0.8,65.62
2.0,6,chains,10,0.9,0.7,71.88
2.0,6,chains,10,0.9,0.6,71.88
2.0,6,chains,10,1,0.8,68.75
2.0,6,chains,10,1,0.7,68.75
2.0,6,chains,10,1,0.6,68.75
2.0,7,chains,10,1,0.9,71.88
2.0,7,chains,10,0.9,0.9,71.88
2.0,7,chains,10,1,0.8,71.88
2.0,7,chains,1,1,0.7,71.88
2.0,7,chains,1,1,0.6,71.88
2.0,8,chains,0.1,0.9,0.8,68.75
2.0,8,chains,1,1,0.6,68.75
2.0,8,chains,0.1,0.9,0.9,65.62
2.0,8,chains,1,0.9,0.9,65.62
2.0,8,chains,1,0.9,0.8,65.62
2.0,9,chains,0.1,0.9,0.9,56.25
2.0,9,chains,0.1,0.9,0.8,56.25
2.0,9,chains,0.1,0.9,0.7,56.25
2.0,9,chains,1,0.9,0.7,56.25
2.0,9,chains,0.1,0.9,0.6,56.25
2.0,10,chains,10,1,0.9,65.62
2.0,10,chains,10,1,0.8,65.62
2.0,10,chains,10,0.9,0.8,65.62
2.0,10,chains,0.1,0.9,0.7,65.62
2.0,10,chains,10,1,0.7,65.62
2.0,15,chains,10,0.9,0.9,68.75
2.0,15,chains,10,1,0.8,68.75
2.0,15,chains,10,0.9,0.8,68.75
2.0,15,chains,10,1,0.7,68.75
2.0,15,chains,10,0.9,0.7,68.75
