epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
8.0,1,chains,1,1,0.9,77.5
8.0,1,chains,1,0.9,0.9,77.5
8.0,1,chains,1,1,0.8,77.5
8.0,1,chains,1,0.9,0.8,77.5
8.0,1,chains,1,1,0.7,77.5
8.0,2,chains,10,1,0.9,77.5
8.0,2,chains,10,0.9,0.9,77.5
8.0,2,chains,10,1,0.8,77.5
8.0,2,chains,10,0.9,0.8,77.5
8.0,2,chains,1,0.9,0.6,77.5
8.0,3,chains,0.1,0.9,0.9,70.0
8.0,3,chains,0.1,1,0.8,70.0
8.0,3,chains,0.1,1,0.9,67.5
8.0,3,chains,10,1,0.8,67.5
8.0,3,chains,10,1,0.9,65.0
8.0,4,chains,10,1,0.9,80.0
8.0,4,chains,10,0.9,0.9,80.0
8.0,4,chains,10,1,0.8,80.0
8.0,4,chains,10,0.9,0.8,80.0
8.0,4,chains,10,1,0.7,80.0
8.0,5,chains,10,1,0.6,77.5
8.0,5,chains,10,0.9,0.9,72.5
8.0,5,chains,10,0.9,0.8,72.5
8.0,5,chains,10,0.9,0.7,72.5
8.0,5,chains,10,0.9,0.6,72.5
8.0,6,chains,10,0.9,0.8,72.5
8.0,6,chains,10,0.9,0.7,72.5
8.0,6,chains,10,1,0.6,72.5
8.0,6,chains,10,0.9,0.6,72.5
8.0,6,chains,1,0.9,0.9,70.0
8.0,7,chains,10,1,0.9,77.5
8.0,7,chains,10,1,0.7,77.5
8.0,7,chains,10,0.9,0.7,77.5
8.0,7,chains,10,1,0.6,77.5
8.0,7,chains,10,0.9,0.6,77.5
8.0,8,chains,10,0.9,0.7,77.5
8.0,8,chains,10,0.9,0.6,77.5
8.0,8,chains,10,1,0.8,72.5
8.0,8,chains,10,0.9,0.8,72.5
8.0,8,chains,10,1,0.7,72.5
8.0,9,chains,0.1,1,0.9,72.5
8.0,9,chains,0.1,0.9,0.9,70.0
8.0,9,chains,0.1,1,0.7,70.0
8.0,9,chains,0.1,1,0.8,67.5
8.0,9,chains,0.1,0.9,0.8,67.5
8.0,10,chains,10,1,0.9,82.5
8.0,10,chains,1,0.9,0.8,82.5
8.0,10,chains,1,0.9,0.9,80.0
8.0,10,chains,10,0.9,0.9,80.0
8.0,10,chains,1,1,0.8,80.0
8.0,15,chains,10,1,0.9,80.0
8.0,15,chains,10,1,0.8,77.5
8.0,15,chains,10,0.9,0.8,77.5
8.0,15,chains,10,1,0.7,77.5
8.0,15,chains,10,0.9,0.7,77.5
